route_id,stop_sequence,stop_id,latitude,longitude,distance_from_prev_km,road_type,planned_arrival,actual_arrival,time_window_open,time_window_close,planned_service_min,actual_service_min,planned_travel_min,actual_travel_min,delay_at_stop_min,missed_time_window,delay_probability,package_count,package_weight_kg
RT-0001,1,STP-95181,39.620795,237.9467157,9.85,mountain,2025-02-23 15:56:52,2025-02-23 16:05:16,2025-02-23 15:46:52,2025-02-23 16:11:52,11.7,12,13.1,21.5,8.4,0,0.37,11,14.3
RT-0001,2,STP-38221,39.774328,237.8969607,17.59,mountain,2025-02-23 16:32:04,2025-02-23 16:55:52,2025-02-23 16:11:04,2025-02-23 17:01:04,6.4,5.6,23.5,38.6,15.1,0,0.283,2,36.6
RT-0001,3,STP-80284,39.274896,238.2483807,63.19,mountain,2025-02-23 18:02:46,2025-02-23 19:19:52,2025-02-23 17:32:46,2025-02-23 18:31:46,6.2,6.4,84.3,138.4,54.1,1,0.407,12,29.1
RT-0001,4,STP-19116,39.227495,237.8317427,36.26,mountain,2025-02-23 18:57:16,2025-02-23 20:45:34,2025-02-23 18:40:16,2025-02-23 19:10:16,9.3,8,48.3,79.3,31,1,0.306,15,32
RT-0001,5,STP-57819,39.297592,237.9081657,10.2,mountain,2025-02-23 19:20:10,2025-02-23 21:15:52,2025-02-23 18:50:10,2025-02-23 19:32:10,15.1,20.6,13.6,22.3,8.7,1,0.352,6,26.9
RT-0001,6,STP-42087,39.298041,237.9226767,1.25,mountain,2025-02-23 19:36:58,2025-02-23 21:39:16,2025-02-23 19:09:58,2025-02-23 19:53:58,19.8,26,1.7,2.8,1.1,1,0.367,2,11.8
RT-0001,7,STP-14207,39.683027,237.9357027,42.82,mountain,2025-02-23 20:53:52,2025-02-23 23:39:04,2025-02-23 20:25:52,2025-02-23 21:13:52,6,9.2,57.1,93.8,36.7,1,0.273,16,20.1
RT-0001,8,STP-94259,39.475311,237.8539317,24.14,mountain,2025-02-23 21:32:04,2025-02-24 0:41:10,2025-02-23 21:14:04,2025-02-23 22:00:04,8.7,10.9,32.2,52.9,20.7,1,0.316,19,20.3
RT-0001,9,STP-38746,39.798395,237.7780027,36.51,mountain,2025-02-23 22:29:28,2025-02-24 2:12:04,2025-02-23 22:16:28,2025-02-23 22:43:28,12.4,17.4,48.7,80,31.3,1,0.356,14,30
RT-0002,1,STP-44522,39.783133,238.1521807,64.66,highway,2025-04-18 16:56:16,2025-04-18 17:10:22,2025-04-18 16:26:16,2025-04-18 17:15:16,12.6,11.2,43.1,57.2,14.1,0,0.275,17,30.6
RT-0002,2,STP-30032,39.424348,237.7919327,50.44,highway,2025-04-18 17:42:28,2025-04-18 18:06:10,2025-04-18 17:32:28,2025-04-18 18:11:28,19.3,29.7,33.6,44.6,11,0,0.171,1,6
RT-0002,3,STP-57576,39.727233,238.1940027,48.18,highway,2025-04-18 18:33:52,2025-04-18 19:18:28,2025-04-18 18:05:52,2025-04-18 18:45:52,9.6,8.1,32.1,42.6,10.5,1,0.123,16,40.9
RT-0002,4,STP-79822,39.659501,237.7720387,36.88,highway,2025-04-18 19:08:04,2025-04-18 19:59:16,2025-04-18 18:50:04,2025-04-18 19:34:04,12.1,15,24.6,32.7,8.1,1,0.281,14,48.2
RT-0002,5,STP-80686,39.653159,238.1089247,28.85,highway,2025-04-18 19:39:22,2025-04-18 20:39:46,2025-04-18 19:09:22,2025-04-18 20:00:22,15.7,17.6,19.2,25.5,6.3,1,0.194,17,22.8
RT-0002,6,STP-42493,39.334818,237.8978547,39.76,highway,2025-04-18 20:21:34,2025-04-18 21:32:34,2025-04-18 20:04:34,2025-04-18 20:31:34,13.8,13.6,26.5,35.2,8.7,1,0.121,2,11.8
RT-0002,7,STP-14117,39.715781,237.7375177,44.54,highway,2025-04-18 21:05:04,2025-04-18 22:25:34,2025-04-18 20:49:04,2025-04-18 21:32:04,8.6,11.5,29.7,39.4,9.7,1,0.133,19,29
RT-0002,8,STP-41850,39.670772,238.1795017,38.15,highway,2025-04-18 21:39:04,2025-04-18 23:10:46,2025-04-18 21:16:04,2025-04-18 22:00:04,7.9,6.9,25.4,33.7,8.3,1,0.191,15,43.3
RT-0003,1,STP-82132,39.258745,238.0862907,8.19,rural,2025-05-22 15:50:52,2025-05-22 15:55:40,2025-05-22 15:38:52,2025-05-22 16:07:52,13.1,10.6,7.6,12.4,4.8,0,0.244,16,24.3
RT-0003,2,STP-62565,39.741466,237.7937857,59.25,rural,2025-05-22 16:58:40,2025-05-22 17:35:10,2025-05-22 16:34:40,2025-05-22 17:17:40,5,5.6,54.7,88.9,34.2,1,0.295,18,33.3
RT-0003,3,STP-73788,39.292878,237.8730287,50.34,rural,2025-05-22 17:50:10,2025-05-22 18:56:22,2025-05-22 17:23:10,2025-05-22 18:01:10,19.5,24.6,46.5,75.6,29.1,1,0.36,2,3
RT-0003,4,STP-72493,39.50171,238.2066357,36.89,rural,2025-05-22 18:43:46,2025-05-22 20:16:22,2025-05-22 18:31:46,2025-05-22 18:58:46,7.4,11.6,34.1,55.4,21.3,1,0.224,3,33.9
RT-0003,5,STP-40828,39.442265,238.2599617,8.04,rural,2025-05-22 18:58:34,2025-05-22 20:39:58,2025-05-22 18:47:34,2025-05-22 19:27:34,13.5,17.1,7.4,12,4.6,1,0.227,19,28.5
RT-0003,6,STP-51467,39.760824,237.8175597,51.88,rural,2025-05-22 19:59:58,2025-05-22 22:14:52,2025-05-22 19:37:58,2025-05-22 20:13:58,15.7,15.6,47.9,77.8,29.9,1,0.345,10,23.1
RT-0003,7,STP-19508,39.205589,238.0676997,65.36,rural,2025-05-22 21:15:58,2025-05-23 0:08:28,2025-05-22 20:48:58,2025-05-22 21:31:58,13.4,11.8,60.3,98,37.7,1,0.312,5,46.7
